Episode,Seat,Score,Turn,Epsilon,Penalty456,Yaku,MZScore, HandComplete
1,North,416,86,0.995,0,,14,94,0,
2,West,244,86,0.990,0,,4,66,0,
3,South,310,86,0.985,0,,23,54,0,
4,South,236,86,0.980,0,,22,37,0,
5,East,144,86,0.975,0,,4,41,0,
6,North,214,86,0.970,0,,15,42,0,
7,North,304,86,0.966,0,,0,87,0,
8,South,124,86,0.961,0,,4,36,0,
9,East,402,86,0.956,0,,23,77,0,
10,East,340,86,0.951,0,,24,60,0,
11,West,244,86,0.946,0,,18,45,0,
12,South,356,86,0.942,0,,24,64,0,
13,South,254,86,0.937,0,,27,34,0,
14,South,326,86,0.932,0,,17,67,0,
15,West,248,86,0.928,0,,14,52,0,
16,South,206,86,0.923,0,,7,52,0,
17,East,222,86,0.918,0,,3,62,0,
18,North,384,86,0.914,0,,2,104,0,
19,East,168,86,0.909,0,,0,53,0,
20,West,192,86,0.905,0,,18,32,0,
