Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
4245,15832,66,0.020,15832,0,赤ドラ1 七対子,16, 筒子5赤ドラ 筒子5 筒子9 筒子9 索子4 索子4 索子6 索子6 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4246,9366,126,0.020,9366,0,,0, 
4247,16680,84,0.020,16680,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5赤ドラ 筒子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4248,21516,126,0.020,21516,0,,0, 
4249,16084,96,0.020,16084,0,七対子,16, 萬子3 萬子3 萬子4 萬子4 筒子5 筒子5 北風 北風 南風 南風 發ちゃん 發ちゃん 白ちゃん 白ちゃん
4250,8466,126,0.020,8466,0,,0, 
4251,15666,126,0.020,15666,0,,0, 
4252,11926,126,0.020,11926,0,,0, 
4253,21780,80,0.020,21780,0,七対子 五門斉,16, 萬子1 萬子1 萬子1 萬子1 萬子3 萬子3 筒子4 筒子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4254,16730,88,0.020,16730,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子1 筒子1 筒子5赤ドラ 筒子5 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん
4255,25638,78,0.020,25638,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5赤ドラ 筒子5 索子7 索子7 北風 北風 北風 北風 白ちゃん 白ちゃん
4256,4866,126,0.020,4866,0,,0, 
4257,25150,75,0.020,25150,0,七対子 五門斉,16, 萬子3 萬子3 萬子4 萬子4 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4258,23260,84,0.020,23260,0,赤ドラ1 七対子,16, 萬子3 萬子3 筒子5赤ドラ 筒子5 索子4 索子4 索子7 索子7 索子8 索子8 發ちゃん 白ちゃん 發ちゃん 白ちゃん
4259,17635,89,0.020,17635,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子6 索子6 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4260,22425,89,0.020,22425,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子4 萬子4 筒子5 筒子5 筒子6 筒子6 索子7 索子7 北風 北風
4261,19576,126,0.020,19576,0,,0, 
4262,6026,126,0.020,6026,0,,0, 
4263,30347,61,0.020,30347,0,赤ドラ2 七対子 五門斉,16, 萬子3 萬子3 筒子5 筒子5赤ドラ 索子4 索子4 索子5 索子5赤ドラ 索子7 索子7 北風 北風 發ちゃん 發ちゃん
